Bulbasaur	[3,4,5,6/12,13,14,15]
Typhlosion	[7,8,9,10/3,4,5,6/11,12,13,14,0]
Totodile	[3,4,5,6/9,10,11/14,15]
Croconaw	[3,4,5,6/9,10,11,12/13,14,15]
Feraligatr	[4,5,6,7/8,9,10,11/12,13,14]
Sentret		[3,4,5,6,7,8,9,10]
Furret		[3,4,5,6,7,8,9,10]
Hoothoot	[5,6,8,9/3,4-L/10,11,12,13/A-7-6,8]
Noctowl		[9,10,11-D/4,5,6,7-L/12/A-8-9,6]
Ledyba		[3,4,5,6/7,8,9,10/11,12]
Ledian		[3,4,5,6/0,8,9,10/0,11,12]
Spinarak	[3,4,5,6,7/8,9,10/11,12,13]
Ariados		[3,4,5,6,7/8,9,10/11,12,13]
Crobat		[3,4,5,6/9,10,11/12,13-DN]
Chinchou	[7,6,5,4,3,2/13,12,11,10,9,8]
Lanturn		[6,5,4,3,2/13,12,11,10/A-9-10,10]
Pichu		[4,5,6,7,8-E/11]
Cleffa		[3,4,5,6,7/8,9,10,11]
Igglybuff	[3,4,5,6,7,8,0/10/A-5-4,6]
Togepi		[7,8,9,10,11/3,4,5,6/0,12,13,0-D/0,14,15,16,0-D]
Togetic		[6,5,4,3//0,11,12,0-D,0,7,8,9,0-D]
Natu		[3,4,5,6/0,10,11,12/0,7,8,9]
Xatu		[3,4,5,6/0,10,11,12/0,7,8,9]
Mareep		[7,8,9,10/3,4,5,6/11,12,13]
Flaaffy		[7,8,9,10,11/3,4,5,6-L/12,13,14]
Ampharos	[3,4,5,6/9,10,11/13,14,15]
Bellossom	[3,4,5,6//12,13,14,15]
Marill		[12,7,8,9,10,11]
Azumarill	[7,8,9,10]
Sudowoodo	[3,4,5,6/8,9,10,11/12,13,14]
Politoed	[7,8,9,10/4,5,6/11,12,13/A-3-4,8]
Hoppip		[6,5,4,3/12,11,10,9/8,7]
Skiploom	[6,5,4,3/11,10,9,8,7/15]
Jumpluff	[6,5,4,3,0/12,11,10,9,8,7-L/14,13/16,15]
Aipom		[3,4,5,6/7,8,9,10,11]
Sunkern		[8,7,6,5,4,3,2/13,12,11,10]
Sunflora	[10,9,8,7,4;6,5,4-4/16,15,14,13]
Yanma		[6,5,4,3,2/10,9,8,7]
Wooper		[8,7,6,5,4,3/9,10,11,12]
Quagsire	[10,9,8,6,5,4,3/13,12]
Espeon		[3,4,5,6,7/11,12/8,9/14-D]
Umbreon		[3,4,5,6/7,8,9,10/11,12,13,14]
Murkrow		[8,7,6,5/13,12,11,10/2,3,4]
Slowking	[8,7,6,5/11,10,9/15,14,13,12/3,4]
Misdreavus	[6,5,4,3/12,11,10/15,14,13/0,8,9,0/A-7-11,3]
Unown		[5,8,9,10]
Wobbuffet	[11,10,9,8,7]
Girafarig	[7,6,5,4/11,10,9,8/3,2/14,13,12-L]
Pineco		[11,10,9,8,7]
Forretress	[8,7,6,5,4,3/14,13,12,11]
Dunsparce	[16,15,14,13,12/7,5,4/11,10,9,8-L-E]
Gligar		[8,7,6,5,4/12,11,10]
Steelix		[9,8,7,6,5]
Snubbull	[7,6,5,4/11,10,9/14,13,12/]
Granbull	[7,6,5,4,3/15,14,13/11,10-E]
Qwilfish	[8,7,6,5/12,11,10,9/15,14,13]
Scizor		[3,4,5,6/8,9,10/13,14,15]
Shuckle		[10,9,14,13,12/7,6,5,3]
Heracross	[3,4,5,6/8,9,10,11-DN]
Sneasel		[3,4,6,7/8,9,10,11/12,13]
Teddiursa	[0,4,5,6,7/8,9/A-3-4,8]
Ursaring	[4,5,6,7/0,8,9,10]
Slugma		[3,4,5,6/8,9-DN]
Magcargo	[3,4,5,6/8,9,10-DN/12,13,14,15/A-11-5,14]
Swinub		[4,5,6,7,8/9,10,11]
Piloswine	[3,4,5,6,7/9,10,11]
Corsola		[7,6,5,4,3,2/11,10,9]
Remoraid	[3,4,5,6,7]
Octillery	[3,4,5,6/8,9,10,11]
Delibird	[  3,5,6/8,9,10/11,12,13,14-L/3,5,4-A]
Mantine		[2,3,4,5/11,12,13,14,15/7,8,9-L]
Skarmory	[3,4,5,6,7,8/9,10,11,12/13,14-DN]
Houndour	[3,4,5-D/7,8,9,10]
Houndoom	[5,6,7-D/8,9,10,11]
Kingdra		[3,4,5,6,7/11,12,13/9]
Phanpy		[3,4,5,6,7/9,10,11,12]
Donphan		[8,9,10,15/3,4,5,6]
Porygon2	[3,4,5,6/8,9,10,11,12]
Stantler	[3,4,5,6/8,9,10,11/13,14,15]
Smeargle	[3,4,5,6,7/10,11,12,13]
Tyrogue		[3,4,5,6,7/8,9,10,11/14,15]
Hitmontop	[3,4,5,6/7,8,9,10/13,14,15]
Smoochum	[10,3,4,5/11,12,13/6,7,8,9]
Elekid		[3,4,5,6,7]
Magby		[3,4,5,6/8,9,10,11]
Miltank		[2,3,4,5,6/7,8,9,10/12,13,14]
Blissey		[7,8,9,10,11]
Raikou		[3,4,5,6/7,8,9,10/12-L/11-LN]
Entei		[3,4,5,6;10,11,12,6-6/7,8,9]
Suicune		[3,4,5,6/7,8,9,10/11-LN]
Larvitar	[3,4,5,6/8,9,10,11]
Pupitar		[3,4,5,6/8]
Tyranitar	[3,4,5,6/8,9,10,11]
Lugia		[3,4,5,6/14,15,16/8,9,10,11]
Ho-oh		[3,4,5,6/7,8,9,10/11,12,13]
Celebi		[3,4,5,6,7,8/10,11,12,13]
Treecko 	[12,13,14,15/0,8,9,10/0,5,6,7/2,3,4-DN]
Grovyle 	[6,5,4,3,2/12,11/10,9,8,7/14,13-DN]
Sceptile 	[11,12,13,14,15//7,8,9/2,3,4,5-DN]
Torchic		[  13,14,15/5,6,7/2,3,4,9,10]
Combusken	[2,6,7,8,9,10;3,4,5,10-10/12,13,14,15]
Blaziken	[6,7,8,9;10,11,3,4,5,9-9/12,13,14,15]
Mudkip		[12,13,14,15/6,7,8,9/2,3,4,5]
Marshtomp	[10,11,12,13/5,6,7,8/14,15/2,3,4-L]
Swampert	[7,8,9,15;12,13,14,15-15/2,3,4,5/10,11-L]
Poochyena	[5,6,7,8,9,10/2,11,12/3,13,14,4-DN]
Mightyena	[  4,5,6,7,8,9/10/12,13]
Zigzagoon	[6,5,4,3,2/12,11,10,9,8,7]
Linoone		[  5,4,3,2/13,12,11,10,9,8-DN/16,15]
Wurmple		[7,6,5,15/11,10,9,8/14,13,12]
Silcoon		[9,8,7,6,4,3,2/11,12]
Beautifly	[14,13,12,11/3,2-D/6,5,4/10,9/8,7]
Cascoon		[9,8,7,6,4,3,2/12,11,10]
Dustox		[13,12,11/10,9,8,7/6,5,4/15,14]
Lotad		[11,12,13,14/6,7,8,9,10/2,3,4]
Lombre		[5,4,3,2/13,12,11,10,9/8,7,6]
Ludicolo	[7,8,9,14;13,14-14/6,5,4,3,2/13,12]
Seedot		[13,12,11,10,9,8/7,6,5,4,3]
Nuzleaf		[0,6,5,4/11,10,9,8,7-E/15,14,13,12]
Shiftry		[6,5,4,3,2/8,9,10,11/0,14,13,12/15-DN]
Taillow		[5,6,7,8,9/10,11,12/13,14,15,16]
Swellow		[5,6,7,8,9/10,11,12/13,14,15,16]
Wingull		[8,7,6,5,4,3,2/10,9/14,13,12,11]
Pelipper	[5,4,3,2/9,7,8,6/14,13,12,11,10]
Ralts		[2,3,4,5/12,13,14,15/7,8,9]
Kirlia		[2,3,4,5,6/12,13,14,15/7,8,9]
Gardevoir	[2,3,4,5/12,13,14,15/7,8,9]
Surskit		[6,4,3/11,10,9,8/13,12/6,4,5-A]
Masquerain	[6,4,3,2/9,8,7/15,16/11,10/12,13-L/6,4,5-A]
Shroomish	[6,5,4,3,2/12,11,10,9,8]
Breloom		[3,4,5,6,7/8,9,10,11/12,13,14,15]
Slakoth		[16,15,14,0-DN/5,4,3-D/0,13,12,11,10-N]
Vigoroth	[11,10,9,8,7,6-DN/5,4,3,2-D/0,14,13,12]
Slaking		[4,3,2-D/7,6,5,0-DN/0,14,13,12-N/10,9,8-L]
Nincada		[  9,10,11,12-L/13,14,15,16-LN/6,7,8/2,3,4,5]
Ninjask		[3,4,5/10,11,12,13,14,15/6,7,8,9]
Shedinja	[2,3,4/6,7,8,9,10/12,13,14,15]
Whismur		[3,4,5,6,7/9,10,11,12/8]
Loudred		[3,4,5,6/7,8,9/10,11,12,13]
Exploud		[3,4,5,6/7,8,9/10,11,12,13]
Makuhita	[6,7,8,9,13,14/2,3,4,5/10,11,12]
Hariyama	[2,3,4,5/10,11/6,7,8,9/12,13,14]
Azurill		[2,3,4,5,6,7,8]
Nosepass	[6,5,4,3,2/11,10,9,8,7]
Skitty		[10,11,12,13/2,3,4,5,6/A-16-12,12]
Delcatty	[2,3,4,6,7/8,9,10,11]
Sableye		[  7,6,4,3,4/11,10,9,8-DN/15,14,13]
Mawile		[7,8,9,10,11/13,14,15,16/4,5,6]
Aron		[14,13,12,11,10,9,8,7/5,4,3,2/15-DN]
Lairon		[11,10,9,8,7,6/5,4,3,2/15-DN]
Aggron		[11,10,9,8,7,6/5,4,3,2/15-DN]
Meditite	[12,13,14,15,16/3,4,5-L-E/7]
Medicham	[7,6,5,4,3/13,12,11,10,9/14,15,16]
Electrike	[6,5,4,3,2/7,8,9]
Manetric	[6,5,4,3,2/7,8,9,10/12,13-DN]
Plusle		[3,4,5,6/0,7,8,9]
Minun		[3,4,5,6/0,7,8,9]
Volbeat		[13,14,15/6,7,8,9/10,11,12-DN]
Illumise	[13,14,15/6,7,8,9/10,11,12/2-DN]
Roselia		[10,9,8,7/6,5/4,3/16,15,14/13,12,11]
Gulpin		[6,5,3,2/13,12,11,10/A-4-5,3]
Swalot		[6,5,4,3,2/0,14,13,12/15]
Carvanha	[4,3,2/9,8,7,6,5/13,12,11,10]
Sharpedo	[5,4,3,2/11,10,9-L/0,8,7,6/0,15,14,13]
Wailmer		[7,6,5,4,3,2/8,9,10,11,12]
Wailord		[10,11,12,13,14,16/2,3,4,6,7]
Numel		[3,5,6,7/8,9/10,11,12,13]
Camerupt	[  6,5,4,3/12,13,14,15/8,9]
Torkoal		[  5,6,7,8,16/10,11,12/2,3,4/14]
Spoink		[7,6,5,4,3/13,12,11,10,9]
Grumpig		[12,11,10,9,8/7,6,5,4/16,15,14,13]
Spinda		[  2,3,4,5,6/8,9,10]
Trapinch	[5,4,3,2/7,8,9,10]
Vibrava		[5,6,7,8/2,3,4-DN/12,13,14,15]
Flygon		[2,3,4,5,6/7,8,9,10/11,12,13,14]
Cacnea		[8,7,6,5,4/12,11,10/15,14,13]
Cacturn		[9,8,7,6,5,4/13,12,11,10/15,14-DN]
Swablu		[3,4,5,6,7/16,15,14,13,12,11,10]
Altaria		[6,7,8,9,10/11,12,13,14,15]
Zangoose	[8,7,6,5,4/13,12,11,10,9-DN]
Seviper		[  6,5,4,3/9,8,7/13,12,11,10/16,15,14]
Lunatone	[8,7,6,5,4/9,10,11-DN]
Solrock		[13,12,11,10,9/8,7,6,5,4,3]
Barboach	[7,6,5,4,3,2/14,13,12,11]
Whiscash	[  7,6,4,3;15,14,13,12,3-3]
Corphish	[4,5,6,7,8,9/10,11,12,13]
Crawdaunt	[3,4,5,6,7/8,9,10,11/12,13,14]
Baltoy		[6,5,4,3,2/11,10,9,0]
Claydol		[0,5,4,3,2;12,13,2-2/9,10,11,0/8,7,6,0]
Lileep		[  2,3,4,5/6,7,8,9/10,11,12]
Cradily		[  3,4,5,6/7,8,9,10/11,12,13]
Anorith		[  3,4,5,6/13,14,15/10,11,12]
Armaldo		[3,4,5,6/13,14,15/8,9/10,11]
Feebas		[6,5,4,3,2;10,9,2-2/13,12,11]
Milotic		[3,4,5,6,7/8,9,10,11/12,13,14/15,16-DN]
Castform	[ 2,3,4,5,6-E/8,9-L/A-14-6]
Kecleon		[6,5,4,3,2/14,13,12,11/10,9,8/A-15-6,14]
Shuppet		[8,7,6,5,4,3,2/11,10,9-DN/14,13-DN]
Banette		[7,6,5,4,3/15,14,13-DN/12,11,10,9,8]
Duskull		[5,4,3,2/12,10,9,8,7/13,14,15-DN/A-11-12,10]
Dusclops	[5,4,3,2/8,9,10,11,12,13-L-E/15,16]
Tropius		[9,8,7,6;11,10,6-6/6,5,4,3,2]
Chimecho	[13,14,15,16/3,4,5,6/7,8,9,10]
Absol		[2,3,4,5,6/12,13,14,15/7,8,9-DN]
Wynaut		[6,5,4,3,2]
Snorunt		[4,5,6,7/10,11,12,13,14/8,9/2,3]
Glalie		[2,3,4,5,6,7-DN/13,14,15,16-D/8,9,10-L]
Spheal		[6,5,4,3,2/12,11,10,9,8]
Sealeo		[6,5,4,3,2/16,15,14,13,12/11,10,9,8-L]
Walrein		[6,5,4,3/10,9,8,7/16,15,14-L]
Clamperl	[14,15,16/12,11,10,9/5,6,7,8]
Huntail		[8,9,10/3,4,5/12,13,14]
Gorebyss	[6,7,8,9,10/12,13,14,15,16]
Relicanth	[10,11,12,13,14/2,3,4,5,6,7,8/15,16]
Luvdisc		[15,14,13,12,11,10]
Bagon		[5,4,3,2/14,13,12,11-L/8,7,6]
Shelgon		[4,3,2-D/13,12,11,10,9/8,7,6/16,15-DN]
Salamence	[5,4,3,2/13,12,11-L/10,9,8,7,6]
Beldum		[11,12,13,14,15/2,3,4,5,6,7/9,10-DN]
Metang		[15,14,13,12,11/7,6,5,4,3,2/10,9,8-DN]
Metagross	[10,11,12,13,14,15/2,3,4,5,6/8,9-DN]
Regirock	[7,6,5,4,3,2/12,11,10,9,8/15,14]
Regice		[7,6,5,4,3,2/15,14,13]
Registeel	[6,5,4,3,2;9,8,7,2-2/15,14,13]
Latias		[2,3,4,5-L-E/12,13,14,15/8,9/6,7]
Latios		[2,3,4,5,6/10,11,12,13,14/7,8-LN]
Kyogre		[10,11,12,13,14,15/7,9/3,4,5,6/2/A-8-7,13]
Groudon		[2,3,4,5,6,7/10,11,12,15/13,14-DN]
Rayquaza	[6,5,4,3,2/10,9/15,14-DN/11,7,8]
Jirachi		[3,4,5,6/12,13,14,15/7,8,9]
Deoxys		[  2,3,4/6,7,8/15-B/14-D] form support?
Turtwig		[  5,6,7,8,9;2,3,9-9/12,13,14/10,11]
Grotle		[  9,10,11,12;2,3,12-12/4,5,6,7,8]
Torterra	[  6,7,8;2,3,4,8-8/9,10,11/12,13,14,15,16]
Chimchar	[2,3,4,5/0,6,7,8/9,10,11/12,13]
Monferno	[  2,3,5/6,7,8,9/12,13/10,11]
Infernape	[  2,3,4/5,6,7/11,12/9,10/7,9,8-A]
Piplup		[5,6,7,8/0,2,3,4/12,9,10,11/13,14-L]
Prinplup	[  7,8/2,3,4,5,6/9,10,11,12]
Empoleon	[  7,8/2,3,4,5,6/9,10,11,14]
Starly		[0,5,4,3-D;0,7,6,3-3/0,13,12,11]
Staravia	[8,4,13-D;0,8,7,14-8/0,11,10,9]
Staraptor	[  0,12,4,3/0,11,10,9]
Bidoof		[0,9,10,11,12;13,10-10/0,14,16,0]
Bibarel		[0,4,5,6/0,8,9,0;8,12,0-8/13,14,15-D]
Kricketot	[8,9,10,11;3,4,11-11/13,14,15,0-D/0,5,6,7-L]
Kricketune	[0,8,9,10;3,4,10-10/0,13,14,15-D/0,5,6,7]
Shinx		[0,4,3,2/14,13,12,11-D/0,11,10,9]
Luxio		[0,4,3,2/14,13,12,11-D/0,11,10,9]
Luxray		[0,4,3,2/14,13,12,11-D/0,11,10,9]
Budew		[6,5,4,3/0,11,10,9/0,14,13,12]
Roserade	[0,8,7,6-LN/0,10,9,0/5/0,16,15,14/0,13,12,11]
Cranidos	[12,13,14,15/5,6,7,8/10,11]
Rampardos	[8,9,10,11/2,3,4,5/6,7-DN]
Shieldon	[6,7,8,9/14,13,2,3,4,5]
Bastiodon	[6,7,8/2,3,4,5/11,10-DN/14,13]
Burmy		[] needs form support
Wormadam	[] needs form support
Mothim		[0,7,8,9/0,10,11,12/0,13,14,15]
Combee		[0,8,7,6,5/0,4,3/10,9]
Vespiquen	[0,8,7,6/0,5,4,3/10,9-LN]
Pachirisu	[5,4,3,2/8,9,10/11,12]
Buizel		[0,2,4,5;6,7,5-5/12,13,14/15,16/A-3-2,4]
Floatzel	[0,2,4,5;6,7,5-5/12,13,14/15,16/A-3-2,4]
Cherubi		[3,13,14,15-DN-LE/8,9,10,11,12/A-4-14,15]
Cherrim		[0,4,5,6/10,9/12,13,14,15,16] needs form support
Shellos		[2,3,4,10;9,10-10/0,11,12,13] needs form support
Gastrodon	[0,6,7,8/0,11,12,13/2,3,4,5] needs form support
Ambipom		[3,4,5,6/7,8,9,11-L/12,13,14]
Drifloon	[10,9,8,7,6/0,13,12,11]
Drifblim	[9,8,7,6-E/14,13,12/11,10/16-15]
Buneary		[0,5,4,3/10-9-8/14,13,12]
Lopunny		[0,5,4,3/10,9,8,7/13,12;14,12-12]
Mismagius	[0,5,4,3-E/0,11,10,9/0,15,14,0/13,12]
Honchkrow	[0,4,3,2/0,10,9,8/0,7,6,5-LN]
Glameow		[6,5,4,3,2;9,2-2]
Purugly		[6,5,4,3,2-LN/10,9]
Chingling	[ 9,10,11,12,13/6,7,8/4,5]
Stunky		[3,4,5,6/8,9,10/14,15,16]
Skuntank	[3,4,5,6/8,9,10/1,14,15,16]
Bronzor		[3,4,5,6,7/8/A-9-4,8]
Bronzong	[3,4,5,6,7/12,13/8,10/A-9-8,10]
Bonsly		[12,11,10,9/8,7,6,5/16,15-DN]
Mime Jr.	[0,7,9,11/12,10/0,14,15,16/A-8-7,9]
Happiny		[0,14,15,16;11,12,13,16-16]
Chatot		[0,12,13,14-LN;0,4,5,6,14-14/2,3/9]
Spiritomb	[0,8,9,10,11/12,13,14,15/2,3,4,5,6,7]
Gible		[2,3,4,5/0,6,7,8/14,15]
Gabite		[2,3,4,5/0,6,7,8/9,10/11,12-DN]
Garchomp	[2,3,4,5/0,6,7,8/0,11,12,10;0,9,10-10-DN]
Munchlax	[2,3,4,5/0,6,7,8/11/A-12-11,7]
Riolu		[0,3,4,5-DN/13,14-D/8,9/6,7-B]
Lucario		[2,3,4,5-DN/12,13,14-D/8,9,10-DN]
Hippopotas	[5,4,3,2/12,11,10,9/8,7,6]
Hippowdon	[5,4,3/13,12,11/8,7,6/10,9/2]
Skorupi		[4,5,6,9;4,8,9,10-4/0,11,12]
Drapion		[3,4,5,6,7/0,12,13/11,8-D]
Croagunk	[6,7,8,9/4,5-D/12,13,14/10,11-DN]
Toxicroak	[6,7,8,9/4,5-D/12,13,14,0/10,11-DN]
Carnivine	[0,8,7,6/0,4,3,2/0,14,13,12/0,11,10,9]
Finneon		[11,10,9,8/0,14,13,12/4,3,2]
Lumineon	[11,10,9,8/14,13,12-D/4,3,2]
Mantyke		[3,4,5,6/12,13-L]
Snover		[12,13,14-L-E/3,4,5,6/7,8,9,10]
Abomasnow	[10,11,12,13-L-E/3,4,5,6,7/14,15,16-LN]
Weavile		[0,4,5,6,7/0,9,10,11/0,14,15,0]
